OBJECTID,ID,NAME,ST_ABBREV,TOTPOP_CY,HHPOP_CY,FAMPOP_CY,GQPOP_CY,POPDENS_CY,TOTHH_CY,AVGHHSZ_CY,FAMHH_CY,AVGFMSZ_CY,TOTHU_CY,OWNER_CY,RENTER_CY,VACANT_CY,POPGRW10CY,HHGRW10CY,FAMGRW10CY,POP0_CY,POP5_CY,POP10_CY,POP15_CY,POP20_CY,POP25_CY,POP30_CY,POP35_CY,POP40_CY,POP45_CY,POP50_CY,POP55_CY,POP60_CY,POP65_CY,POP70_CY,POP75_CY,POP80_CY,POP85_CY,MALES_CY,FEMALES_CY,NOHS_CY,SOMEHS_CY,HSGRAD_CY,GED_CY,SMCOLL_CY,ASSCDEG_CY,BACHDEG_CY,GRADDEG_CY,NEVMARR_CY,MARRIED_CY,WIDOWED_CY,DIVORCD_CY,HINC0_CY,HINC15_CY,HINC25_CY,HINC35_CY,HINC50_CY,HINC75_CY,HINC100_CY,HINC150_CY,HINC200_CY,MEDHINC_CY,AVGHINC_CY,PCI_CY,TOTPOP_FY,HHPOP_FY,FAMPOP_FY,GQPOP_FY,POPDENS_FY,TOTHH_FY,AVGHHSZ_FY,FAMHH_FY,AVGFMSZ_FY,TOTHU_FY,OWNER_FY,RENTER_FY,VACANT_FY,POPGRWCYFY,HHGRWCYFY,FAMGRWCYFY,PCIGRWCYFY,OWNGRWCYFY,MHIGRWCYFY,High_Inc,Low_Inc,GenZ_1,GenMil,GenX_1,GenBoom,GenSilent
1,0101,Alabama - District 1,AL,717837,704571,583505,13266,118.3,280271,2.51,191687,3.04,345369,191383,88889,65098,0.8,0.89,0.74,44317,45363,46430,45111,46034,46924,45946,43501,44091,45066,49448,50869,46226,40900,30217,20893,13560,12940,349168,368668,19908,45241,138986,25771,107791,40432,73829,38624,175182,291670,40829,74045,47015,35059,32298,39552,51689,31280,27338,8699,7342,43658,60344,23880,747899,734633,606687,13266,123.3,293030,2.51,199572,3.04,363523,200427,92603,70493,0.82,0.89,0.81,1.89,0.93,1.97,16041,82074,153999,192299,125902,174921,70716
2,0102,Alabama - District 2,AL,700843,678088,555536,22755,69.1,275117,2.46,184343,3.01,318462,182005,93112,43345,0.42,0.4,0.25,43286,43803,44050,43250,48376,49472,47585,43810,44250,44188,47352,47558,43355,37929,27845,19410,12958,12366,342724,358119,25268,49470,126836,31334,101667,39123,64575,39803,175753,279029,40989,73934,48874,34568,32701,39918,48450,29964,27023,8226,5387,41838,57535,23075,709892,687137,561345,22755,70,278598,2.47,185833,3.02,324401,184375,94223,45803,0.26,0.25,0.16,1.69,0.26,1.68,13613,83442,147721,198552,124496,163829,66245
3,0103,Alabama - District 3,AL,717877,698711,565972,19166,95.2,282710,2.47,187981,3.01,333923,192327,90384,51213,0.8,0.76,0.59,42378,43667,43919,48366,59901,47279,45566,44032,44980,45245,48032,49112,44941,39691,28317,19115,12365,10975,352158,365723,26639,52528,130242,29720,103691,37496,59730,39602,179443,295748,40240,72482,53231,37514,34118,39908,49024,29889,26018,7638,5361,40059,55791,22365,744012,724846,584538,19166,98.6,292725,2.48,193421,3.02,347074,198480,94245,54349,0.72,0.7,0.57,1.62,0.63,1.25,12999,90745,147038,210477,126777,169330,64252
4,0104,Alabama - District 4,AL,694346,685737,574661,8609,78.1,275500,2.49,191464,3,318708,199856,75645,43208,0.27,0.25,0.1,41368,43227,43915,40784,39864,42698,42856,42385,44890,45242,48207,49374,46149,42070,31831,22207,14432,12846,341899,352446,35538,57333,135558,32814,105625,40820,47569,29929,134823,313248,45143,72622,50159,39932,34222,42111,48059,27250,22837,6042,4888,38746,53854,21593,701558,692949,579170,8609,78.9,278149,2.49,192436,3.01,323164,201763,76387,45015,0.21,0.19,0.1,1.67,0.19,1.17,10930,90091,145017,174948,126242,173988,74147
5,0105,Alabama - District 5,AL,721268,705942,582285,15326,196.1,289053,2.44,194767,2.99,320106,199815,89238,31053,0.88,0.9,0.74,41275,43801,45749,45964,47550,47221,47358,44956,46091,48209,53591,52076,44622,38130,28839,20376,13512,11947,354789,366478,21915,42788,109788,28365,106523,38868,93057,55623,168246,311190,37595,73410,39616,33068,30905,38985,49777,33099,38766,14554,10282,50659,69509,28197,750701,735375,604824,15326,204.1,301036,2.44,201874,3,334466,208302,92733,33430,0.8,0.82,0.72,1.82,0.84,1.81,24836,72684,148287,197622,133395,173788,68177
6,0106,Alabama - District 6,AL,709464,697834,586005,11630,170.1,275397,2.53,191244,3.06,305432,204846,70551,30035,0.61,0.55,0.41,42919,45845,47534,43781,42308,45801,48879,48751,49135,47314,49161,48524,43388,36872,26026,17844,12554,12827,346526,362937,17351,34012,107841,19631,103334,36504,103752,64651,151940,318789,35844,66592,26850,25262,26456,36482,50695,36269,42324,16603,14456,58820,81627,31943,732928,721299,604255,11629,175.7,283947,2.54,196372,3.08,315318,211279,72668,31371,0.65,0.61,0.53,1.71,0.62,2.12,31059,52112,154136,192150,135548,164428,63197
7,0107,Alabama - District 7,AL,696385,667914,522089,28471,68.6,274014,2.44,168379,3.1,329403,158557,115457,55389,0.32,0.25,0.04,43335,42583,42194,51302,64274,50455,45371,40760,39436,39537,45183,47715,42945,34679,24472,17421,12343,12379,329991,366393,21219,53622,133398,21095,101019,35360,54930,32054,244098,209453,43369,71353,67236,41851,35061,38048,41506,23046,19069,4878,3319,32459,46833,19060,705571,677101,526460,28470,69.5,277689,2.44,169385,3.11,335677,160297,117392,57988,0.26,0.27,0.12,1.49,0.22,0.52,8197,109087,144744,219514,112536,158645,60941
8,0200,Alaska Congressional District,AK,752680,724373,575297,28307,1.3,270970,2.67,177298,3.24,323266,166065,104905,52296,0.93,0.78,0.6,54324,52305,51093,48683,57712,59917,56010,48792,45941,46853,53109,54738,45850,33433,19950,11425,6796,5749,391026,361654,12107,20271,114531,23980,138177,39746,92953,46798,207956,295059,21396,70547,18849,18157,19113,31407,51345,39153,53777,22145,17023,72692,91524,34264,779291,750984,593821,28307,1.4,279674,2.69,181970,3.26,334901,171886,107788,55227,0.7,0.63,0.52,1.44,0.69,2.07,39168,37006,177085,232791,132460,171412,38932
9,0401,Arizona - District 1,AZ,756062,728175,603424,27887,13.7,263426,2.76,183822,3.28,346518,180385,83041,83092,1.01,0.99,0.86,53470,52282,52053,53245,54880,49064,45922,43514,42227,42194,46555,49804,48559,45283,32804,21196,12697,10311,379536,376524,30098,41492,107995,22433,127960,42881,71170,46102,212752,285422,33029,67054,43043,28679,27505,37155,49430,33667,28763,8204,6969,47550,62411,22226,803522,775636,640942,27886,14.6,280488,2.77,194863,3.29,369964,192427,88061,89476,1.23,1.26,1.17,2,1.3,2.14,15173,71722,177391,209832,119793,179623,69419
10,0402,Arizona - District 2,AZ,732755,715941,541731,16814,93.5,307006,2.33,183191,2.96,353133,183176,123830,46127,0.5,0.44,0.22,41676,41091,40954,41539,49767,51378,47434,42406,40857,41343,47290,51143,49476,46311,35905,25986,18422,19775,361475,371278,20830,27903,90162,20360,141103,47440,97619,72311,192879,288713,41874,85568,45449,34512,36521,43186,53539,36206,35349,10992,11254,47236,66352,28305,750256,733441,552468,16815,95.7,313611,2.34,185802,2.97,362875,186875,126737,49264,0.47,0.43,0.28,1.85,0.4,2.39,22246,79961,139608,200019,117122,183936,92072
